awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
American Occupational Therapy Foundation	Meritorius Service Award	Simone Gill	2022	Gill, Simone V	Not Designated	3	2020s	Standard Award	True	American Occupational Therapy Association | AOTA/AOTF PresidentsÕ Commendation	Health Promotion, Kinesiology, Exercise Science and Rehab	American Occupational Therapy Foundation | Meritorius Service Award	1.0	1.0	32.0
American Society for Microbiology	Distinguished Lecturer	Stephen Brecher	1999	Brecher, Stephen M	Not Designated	26	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Biomedical Engineering	IEEE Signal Processing Society | Distinguished Lecturer	1.0	0.5	27.0
John Templeton Foundation	Templeton Grants	Paul Katsafanas	2023	Katsafanas, Peter Paul	Not Designated	2	2020s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	John Templeton Foundation | Templeton Grants	1.0	0.125	49.0
American Physical Therapy Association	Eugene Michels New Investigator Award	Cara L. Lewis	2016	Lewis, Cara L	Not Designated	9	2010s	Standard Award	True	American Institute for Medical and Biological Engineering | Fellow	Biomedical Sciences, General	American Physical Therapy Association | Eugene Michels New Investigator Award	1.0	0.0559999999999999	5.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Pankaj Mehta	2011	Mehta, Pankaj	Prestigious	14	2010s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
Simons Foundation	Simons Investigators	Pankaj Mehta	2014	Mehta, Pankaj	Not Designated	11	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Simons Foundation | Simons Investigators	1.0	0.125	10.0
National Institutes of Health (NIH)	NIH Outstanding Investigator Award (R35)	MEHTA, PANKAJ	2016	Mehta, Pankaj	Not Designated	9	2010s	Standard Award	True	Academy of Behavioral Medicine Research | Neal Miller Award	Biomedical Sciences, General	National Institutes of Health (NIH) | NIH Outstanding Investigator Award (R35)	1.0	1.0	4.0
Research Corporation for Science Advancement	Scialog Fellows	Mehta, Pankaj	2015	Mehta, Pankaj	Not Designated	10	2010s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | U.S. Air Force Research Lab Summer Faculty Fellowship Program	Agricultural/Biological Engineering and Bioengineering	Research Corporation for Science Advancement | Scialog Fellows	1.0	0.2	6.0
Research Corporation for Science Advancement	Scialog Collaborative Team Awards	Pankaj Mehta	2015	Mehta, Pankaj	Not Designated	10	2010s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | U.S. Air Force Research Lab Summer Faculty Fellowship Program	Agricultural/Biological Engineering and Bioengineering	Research Corporation for Science Advancement | Scialog Collaborative Team Awards	1.0	0.2	6.0
Research Corporation for Science Advancement	Scialog Collaborative Team Awards	Pankaj Mehta	2016	Mehta, Pankaj	Not Designated	9	2010s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | U.S. Air Force Research Lab Summer Faculty Fellowship Program	Agricultural/Biological Engineering and Bioengineering	Research Corporation for Science Advancement | Scialog Collaborative Team Awards	1.0	0.2	6.0
Research Corporation for Science Advancement	Scialog Collaborative Team Awards	Pankaj Mehta	2017	Mehta, Pankaj	Not Designated	8	2010s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | U.S. Air Force Research Lab Summer Faculty Fellowship Program	Agricultural/Biological Engineering and Bioengineering	Research Corporation for Science Advancement | Scialog Collaborative Team Awards	1.0	0.2	6.0
American Physical Society	APS Fellow	Pankaj Mehta	2023	Mehta, Pankaj	Not Designated	2	2020s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
Association for Psychological Science	Fellow	Helen B. Tager-Flusberg	2007	Tager-flusberg, Helen B	Prestigious	18	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
American Association for the Advancement of Science, The (AAAS)	AAAS Fellow	Helen Tager-Flusberg	2007	Tager-flusberg, Helen B	Prestigious	18	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	1.0	0.5	27.0
Association for Psychological Science	James McKeen Cattell Fund Fellowship	Helen Tager-Flusberg	2012	Tager-flusberg, Helen B	Prestigious	13	2010s	Notable Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cognitive Science	Association for Psychological Science | James McKeen Cattell Fund Fellowship	2.0	0.143	9.5
Simons Foundation	Simons Research Award	Helen Tager-Flusberg	2011	Tager-flusberg, Helen B	Not Designated	14	2010s	Standard Award	False	Alex's Lemonade Stand Foundation for Childhood Cancer | Reach Grants	Biochemistry	Simons Foundation | Simons Research Award	1.0	0.3329999999999999	33.0
International Society for Autism Research	INSAR Fellow	Helen Tager-Flusberg	2018	Tager-flusberg, Helen B	Not Designated	7	2010s	Standard Award	True	International Society for Autism Research | INSAR Fellow	Genetics	National Academy of Medicine | NAM Member	1.0	1.0	26.0
International Society for Autism Research	Lifetime Achievement Award	Helen Tager-Flusberg	2021	Tager-flusberg, Helen B	Not Designated	4	2020s	Standard Award	True	ABSA International (American Biological Safety Association) | Arnold G. Wedum Memorial Lecture Award	Epidemiology	Association of Public Health Laboratories | Lifetime Achievement Award	1.0	0.5	18.0
National Endowment for the Humanities (NEH)	Summer Stipends Awards	David T. M. Frankfurter	1992	Frankfurter, David T. M	Not Designated	33	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Near and Middle Eastern Languages and Cultures	National Endowment for the Humanities (NEH) | Summer Stipends Awards	1.0	0.5	29.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	David Frankfurter	2007	Frankfurter, David T. M	Highly Prestigious	18	2000s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
American Academy of Religion	AAR Book Award/Analytical-Descriptive Studies	David Frankfurter	2007	Frankfurter, David T. M	Prestigious	18	2000s	Notable Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Religion/Religious Studies	American Academy of Religion | AAR Book Award/Analytical-Descriptive Studies	1.0	0.091	39.0
American Academy of Religion	AAR Book Award/Historical Studies	David Frankfurter	1999	Frankfurter, David T. M	Prestigious	26	1990s	Notable Award	False	American Academy in Berlin | Berlin Prize Fellow	Religion/Religious Studies	American Academy of Religion | AAR Book Award/Historical Studies	1.0	0.3329999999999999	11.0
Harvard Radcliffe Institute for Advanced Study	Radcliffe Institute Fellowship	David Frankfurter	2007	Frankfurter, David T. M	Prestigious	18	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Harvard Radcliffe Institute for Advanced Study | Radcliffe Institute Fellowship	1.0	0.125	15.0
American Sociological Association	Community and Urban Sociology Section/Jane Addams Award	Japonica Brown-Saracino	2016	Brown-saracino, Japonica	Not Designated	9	2010s	Standard Award	True	Academy of Management | AMP Best Paper Award	Sociology - Articles-Focused	American Sociological Association | Community and Urban Sociology Section/Jane Addams Award	1.0	0.5	18.0
Urban Affairs Association	Best Book In Urban Affairs	Japonica Brown-Saracino	2011	Brown-saracino, Japonica	Not Designated	14	2010s	Standard Award	False	American Society of Landscape Architects | Bradford Williams Medal	Sociology - Articles-Focused	Urban Affairs Association | Best Book In Urban Affairs	1.0	1.0	3.0
American Sociological Association	Sex and Gender Section/Sally Hacker Graduate Student Paper Award	Catherine Connell	2009	Connell, Catherine	Not Designated	16	2000s	Standard Award	False	American Educational Research Association (AERA) | Division J/Postsecondary Education/Outstanding Publication Award	Sociology - Articles-Focused	American Sociological Association | Sex and Gender Section/Sally Hacker Graduate Student Paper Award	1.0	0.5	0.0
American Sociological Association	Sociology of Body and Embodiment Section/Best Publication Award	Ashley Mears	2017	Mears, Ashley E	Not Designated	8	2010s	Standard Award	True	American Council of Learned Societies (ACLS) | ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships)	Sociology - Articles-Focused	American Sociological Association | Sociology of Body and Embodiment Section/Best Publication Award	1.0	0.25	4.0
Central European University	Institute for Advanced Study CEU/Fellows	Ashley Mears	2021	Mears, Ashley E	Not Designated	4	2020s	Standard Award	True	Alexander Von Humboldt Foundation | Humboldt Research Fellowship	Comparative Literature	Central European University | Institute for Advanced Study CEU/Fellows	1.0	0.3329999999999999	1.0
American Sociological Association	Communications, Information Technologies and Media Sociology Section/CITAMS Paper Award	Ashley Mears	2024	Mears, Ashley E	Not Designated	1	2020s	Standard Award	True	Academy of Management | AOM Fellow	Management Information Systems	American Sociological Association | Communications, Information Technologies and Media Sociology Section/CITAMS Paper Award	1.0	1.0	1.0
Acoustical Society of America	Fellow	Virginia A. Best	2019	Best, Virginia A	Not Designated	6	2010s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Association for Research in Otolaryngology	Geraldine Dietz Fox Young Investigator Award	Virginia Best	2012	Best, Virginia A	Not Designated	13	2010s	Standard Award	False	Acoustical Society of America | Fellow	Biophysics	Association for Research in Otolaryngology | Geraldine Dietz Fox Young Investigator Award	1.0	1.0	19.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Coogan, Kristen	2011	Coogan, Kristen Elizabeth Hal	Prestigious	14	2010s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Specialist	Coogan, Kristen	2011	Coogan, Kristen Elizabeth Hal	Not Designated	14	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Science	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Specialist	1.0	0.063	22.0
Medical Library Association	Joseph Leiter NLM/MLA Lectureship	Ann McKee	2015	Mckee, Ann C	Not Designated	10	2010s	Standard Award	True	Alpha Omega Alpha Honor Medical Society | Visiting Professorship	Cell Biology	Medical Library Association | Joseph Leiter NLM/MLA Lectureship	1.0	0.2	24.0
National Academy of Medicine	NAM Member	Ann Carolyn McKee	2018	Mckee, Ann C	Highly Prestigious	7	2010s	Major Award	True	ABSA International (American Biological Safety Association) | Arnold G. Wedum Memorial Lecture Award	Environmental Health Sciences	National Academy of Medicine | NAM Member	1.0	1.0	24.0
International Society to Advance Alzheimer's Research and Treatment	AAIC Lifetime Achievement Awards in Alzheimer's Disease Research	McKee, Ann C.	2018	Mckee, Ann C	Not Designated	7	2010s	Standard Award	True	American Academy of Neurology | Sheila Essey Award: An Award for ALS Research	Biochemistry	International Society to Advance Alzheimer's Research and Treatment | AAIC Lifetime Achievement Awards in Alzheimer's Disease Research	1.0	1.0	36.0
American Academy of Neurology	Norman Geschwind Prize in Behavioral Neurology	Andrew Budson	2008	Budson, Andrew E	Not Designated	17	2000s	Standard Award	False	American Academy of Neurology | Norman Geschwind Prize in Behavioral Neurology	Neurobiology/Neuroscience	American Academy of Neurology | Alliance Awards: S. Weir Mitchell	1.0	1.0	6.0
American Book Fest	Best Book Awards/Health ? Aging/50+	Andrew E. Budson	2017	Budson, Andrew E	Not Designated	8	2010s	Standard Award	True						
Association of American Publishers	Category Award/Biomedicine and Neuroscience	Andrew E. Budson	2024	Budson, Andrew E	Not Designated	1	2020s	Standard Award	True	Association of American Publishers | Category Award/Biomedicine and Neuroscience	Communication Disorders and Sciences	Gerontological Society of America, The | Gene D. Cohen Research Award	1.0	1.0	33.0
American Society for Clinical Investigation, The	Member	Perrine, Susan P.	1993	Perrine-faller, Susan P	Not Designated	32	1990s	Standard Award	False	Acta Materialia, Inc. | Acta Biomaterialia Silver Medal	Mechanical Engineering	American Society for Clinical Investigation, The | Member	1.0	1.0	19.0
Harrington Discovery Institute	Harrington Scholar-Innovator Award	Susan P. Perrine	2016	Perrine-faller, Susan P	Not Designated	9	2010s	Standard Award	True	Alex's Lemonade Stand Foundation for Childhood Cancer | Innovation Grants	Biochemistry	Harrington Discovery Institute | Harrington Scholar-Innovator Award	1.0	0.2	25.0
American Heart Association (AHA)	CLCD/Women in Cardiology Mentoring Award	Emelia Benjamin	2012	Benjamin, Emelia J	Not Designated	13	2010s	Standard Award	False	Alliance for Academic Internal Medicine | AAIM Diversity, Equity, and Inclusion Award	Epidemiology	American Heart Association (AHA) | CLCD/Women in Cardiology Mentoring Award	1.0	1.0	29.0
