awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
Academy of Management,Operations and Supply Chain Management Division/Best Student Paper Award,Marcus Bellamy,2013,"BELLAMY, MARCUS",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Natural Science/Visitor,Andrew Liam Fitzpatrick,2008,"FITZPATRICK, ANDREW LIAM",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Natural Science/Visitor,Andrew Liam Fitzpatrick,2009,"FITZPATRICK, ANDREW LIAM",Boston University,Not Designated,2024-12-06
Institute for Advanced Study,IAS School of Natural Science/Visitor,Andrew Liam Fitzpatrick,2010,"FITZPATRICK, ANDREW LIAM",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Andrew Liam Fitzpatrick,2017,"FITZPATRICK, ANDREW LIAM",Boston University,Prestigious,2024-12-06
Woodrow Wilson National Fellowship Foundation,Career Enhancement Fellowship/Junior Faculty Fellowship,Saida Grundy?,2018,"GRUNDY, SAIDA",Boston University,Not Designated,2024-12-06
American Sociological Association,"Race, Gender and Class Section/Distinguished Contribution to Scholarship Book Award",Saida Grundy,2024,"GRUNDY, SAIDA",Boston University,Not Designated,2024-12-06
Heidelberg University,Manfred Lautenschlaeger Award for Theological Promise,"Decosimo, David",2016,"DECOSIMO, JOSEPH DAVID",Boston University,Not Designated,2024-12-06
National Strength and Conditioning Association,Retiring Board of Directors,John P. McCarthy,2011,"MCCARTHY, JOHN",Boston University,Not Designated,2024-12-06
American Political Science Association,Health Politics and Policy Section/Len Robins Best Paper on Health Politics and Policy Award,Timothy Callaghan,2019,"CALLAGHAN, TIMOTHY",Boston University,Not Designated,2024-12-06
American Political Science Association,Federalism and Intergovernmental Relations Section/Deil S. Wright Best Paper Award,Timothy Callaghan,2020,"CALLAGHAN, TIMOTHY",Boston University,Not Designated,2024-12-06
Delta Omega Honorary Society in Public Health,Members,Timothy Callaghan,2019,"CALLAGHAN, TIMOTHY",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Lipson, Sarah",2010,"LIPSON, SARAH K",Boston University,Not Designated,2024-12-06
William T. Grant Foundation,William T. Grant Scholar,Sarah Lipson,2025,"LIPSON, SARAH K",Boston University,Not Designated,2024-12-06
Woodrow Wilson National Fellowship Foundation,Career Enhancement Fellowship/Junior Faculty Fellowship,Maia Gil?Adi?,2021,"GIL'ADI, MAIA SABINA",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Jennifer E. Cazenave,2017,"CAZENAVE, JENNIFER",Boston University,Highly Prestigious,2024-12-06
United States Holocaust Memorial Museum,Fellows and Scholars,Jennifer Cazenave,2007,"CAZENAVE, JENNIFER",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Innovative Project Award,"AWAD, LOUIS",2018,"AWAD, LOUIS",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Transformational Project Award,"AWAD, LOUIS",2018,"AWAD, LOUIS",Boston University,Not Designated,2024-12-06
American Physical Therapy Association,Eugene Michels New Investigator Award,Deepak Kumar,2018,"KUMAR, DEEPAK",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Anna Devor,2020,"DEVOR, ANNA",Boston University,Not Designated,2024-12-06
Federation of European Neuroscience Societies,FENS Young Investigator Prize,Jerry Chen,2016,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
Society for Neuroscience,Peter and Patricia Gruber International Research Award in Neuroscience,Jerry Chen,2015,"CHEN, JERRY",Boston University,Prestigious,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Jerry Lu Chen,2016,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Director?s New Innovator Award (DP2),"CHEN, JERRY L",2018,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
Health Resources in Action,Smith Family Awards Program for Excellence in Biomedical Research,Jerry Lu Chen,2016,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,Jerry Chen,2022,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
University of Cambridge,Clare Hall/Visiting Fellowship,Jerry Chen,2024,"CHEN, JERRY",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Xi  Ling,2020,"LING, XI",Boston University,Prestigious,2024-12-06
American Chemical Society,PRF (Petroleum Research Fund)/New Directions (ND) Grant,Xi Ling,2020,"LING, XI",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Lei  Tian,2019,"TIAN, LEI",Boston University,Prestigious,2024-12-06
National Academy of Engineering,EU-US Frontiers of Engineering Participant,Lei Tian,2017,"TIAN, LEI",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Fellows,Lei Tian,2023,"TIAN, LEI",Boston University,Not Designated,2024-12-06
Research Corporation for Science Advancement,Scialog Collaborative Team Awards,Lei Tian,2023,"TIAN, LEI",Boston University,Not Designated,2024-12-06
Association for Psychological Science,APS Rising Star,Nicholas Wagner,2019,"WAGNER, NICHOLAS",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Tallman, Sean",2023,"TALLMAN, SEAN",Boston University,Prestigious,2024-12-06
American Anthropological Association,Society for Psychological Anthropology-Condon Prize for Best Student Essay,Merav Shohet,2006,"SHOHET, MERAV",Boston University,Not Designated,2024-12-06
American Anthropological Association,Society for Psychological Anthropology-Stirling Prize,Merav Shohet,2022,"SHOHET, MERAV",Boston University,Not Designated,2024-12-06
American Geophysical Union,James B Macelwane Medalists,Wen Li,2017,"LI, WEN",Boston University,Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Wen Li,2018,"LI, WEN",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Wen  Li,2019,"LI, WEN",Boston University,Prestigious,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"FUXMAN BASS, JUAN IGNACIO",2018,"FUXMAN BASS, JUAN",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Pathway to Independence Award (K99/R00),"FUXMAN BASS, JUAN IGNACIO",2015,"FUXMAN BASS, JUAN",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Jeffrey  Geddes,2018,"GEDDES, JEFFREY",Boston University,Prestigious,2024-12-06
American Geophysical Union,Outstanding Student Presentation Awards,JEFFREY GEDDES,2012,"GEDDES, JEFFREY",Boston University,Not Designated,2024-12-06
American Geophysical Union,Outstanding Student Presentation Awards,DAN LI,2012,"LI, DAN",Boston University,Not Designated,2024-12-06
Alexander Von Humboldt Foundation,Humboldt Research Fellowship,Dan Li,2019,"LI, DAN",Boston University,Prestigious,2024-12-06
American Geophysical Union,Global Environmental Change Section/Early Career Award,Dan Li,2023,"LI, DAN",Boston University,Not Designated,2024-12-06
International Association for Urban Climate,Timothy Oke Award,Dan Li,2022,"LI, DAN",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Li, Wenchao",2024,"LI, WENCHAO",Boston University,Prestigious,2024-12-06
Harvard University,Nieman Foundation/Nieman Fellows,Maggie Mulvihill,2005,"MULVIHILL, MAGGIE",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,JCR Ferber Award,Daniella M. Kupor,2016,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Kupor, Daniella M.",2008,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
American Marketing Association,AMA-Sheth Foundation Doctoral Consortium Fellows,Daniella Kupor,2015,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 23-Society for Consumer Psychology-SCP Early Career Award,Daniella Kupor,2021,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
Journal of Consumer Research,Outstanding Reviewer Award,Daniella Kupor,2019,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
Marketing Science Institute,MSI Young Scholars,Daniella Kupor,2021,"KUPOR, DANIELLA",Boston University,Not Designated,2024-12-06
"American Musicological Society, Inc.","AMS Subventions for Publications for Individuals or Scholarly Organizations, Societies, and Departments",Rachana Vajjhala,2023,"VAJJHALA, RACHANA",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Anushya Chandran,2018,"CHANDRAN, ANUSHYA",Boston University,Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Anushya  Chandran,2018,"CHANDRAN, ANUSHYA",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",Science & PINS Prize for Neuromodulation,Robert M. G. Reinhart,2022,"REINHART, ROBERT",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),Andrew W Mellon/ACLS Dissertation Completion Fellowships,April Dawn Hughes,2013,"HUGHES, APRIL",Boston University,Highly Prestigious,2024-12-06
American Academy of Religion,American Academy of Religion Individual Research Grant,April Hughes,2018,"HUGHES, APRIL",Boston University,Prestigious,2024-12-06
American Sociological Association,Community and Urban Sociology Section/Robert E Park Award,Jessica Simes,2022,"SIMES, JESSICA",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Simes, Jessica",2023,"SIMES, JESSICA",Boston University,Prestigious,2024-12-06
Harry Frank Guggenheim Foundation,Harry Frank Guggenheim Emerging Scholars,ANA VILLARREAL,2014,"VILLARREAL MONTEMAYOR, ANA",Boston University,Not Designated,2024-12-06
Photolucida,Critical Mass Top 50,TONI PEPE,2007,"DAN, TONI",Boston University,Not Designated,2024-12-06
MacDowell Colony,MacDowell Fellowships,Toni Pepe,2024,"DAN, TONI",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Halvorson, Josephine N.",2003,"HALVORSON, JOSEPHINE",Boston University,Not Designated,2024-12-06
Georgia O'Keeffe Museum Research Center,Artist in Residence,Josephine Halvorson,2019,"HALVORSON, JOSEPHINE",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Josephine Halvorson,2021,"HALVORSON, JOSEPHINE",Boston University,Highly Prestigious,2024-12-06
International Association for Dental Research,GORG Post-doctoral Award,Laura B. Kaufman,2012,"KAUFMAN, LAURA B",Boston University,Not Designated,2024-12-06
LUNGevity Foundation,Career Development Award,Jennifer Beane,2012,"BEANE-EBEL, JENNIFER E",Boston University,Not Designated,2024-12-06
LUNGevity Foundation,Career Development Award,Joshua Campbell,2016,"CAMPBELL, JOSHUA",Boston University,Not Designated,2024-12-06
Harvard Society of Fellows,Harvard Society Junior Fellows,Steve Ramirez,2015,"RAMIREZ, STEVE",Boston University,Highly Prestigious,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Steve Ramirez,2017,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
National Geographic Society,Emerging Explorers,Steve Ramirez,2015,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Steve Ramirez,2016,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Director?s Early Independence Award (DP5),"RAMIREZ, STEVE ",2016,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
McKnight Foundation,McKnight Endowment Fund for Neuroscience/Memory & Cognitive Disorders Award,Steve Ramirez,2018,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
President of the United States of America,Presidential Early Career Awards for Scientists and Engineers (PECASE),Steve Ramirez,2015,"RAMIREZ, STEVE",Boston University,Prestigious,2024-12-06
Massachusetts Institute of Technology,MIT Technology Review/Innovators Under 35/Global,Steve Ramirez,2013,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
Howard Hughes Medical Institute (HHMI),Gilliam Fellows and Advisers,Steve Ramirez,2022,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
"Pew Charitable Trusts, The",Pew Scholars in the Biomedical Sciences,Steve Ramirez,2022,"RAMIREZ, STEVE",Boston University,Prestigious,2024-12-06
Diverse: Issues in Higher Education,Emerging Schlolars,Steve Ramirez,2018,"RAMIREZ, STEVE",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Scientist Development Grant,"KOLACHALAMA, VIJAYA",2017,"KOLACHALAMA, VIJAYA",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),AHA Fellows and International Fellows (FAHA),Vijaya B. Kolachalama,2019,"KOLACHALAMA, VIJAYA",Boston University,Not Designated,2024-12-06
American Heart Association (AHA),Strategically Focused Research Network,Vijaya B Kolachalama,2020,"KOLACHALAMA, VIJAYA",Boston University,Not Designated,2024-12-06
"National Academies, The",Gulf Research Program/Early-Career Research Fellowship,Sarah Davies,2018,"DAVIES, SARAH",Boston University,Not Designated,2024-12-06
Life Sciences Research Foundation,LSRF Fellow,Sarah Davies,2016,"DAVIES, SARAH",Boston University,Not Designated,2024-12-06
International Coral Reef Society,ICRS Fellow,Sarah W. Davies,2024,"DAVIES, SARAH",Boston University,Not Designated,2024-12-06
International Coral Reef Society,Early-Career Scientist Award,Sarah W. Davies,2024,"DAVIES, SARAH",Boston University,Not Designated,2024-12-06
International Coral Reef Society,ICRS Fellow,Sarah Davies,2022,"DAVIES, SARAH",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Dissertation Research Award,Ellen S. Hendriksen,2006,"HENDRIKSEN, ELLEN",Boston University,Not Designated,2024-12-06
American Academy of Fixed Prosthodontics,Claude R. Baker Faculty Award,Hesham Nouh,2019,"NOUH, HESHAM",Boston University,Not Designated,2024-12-06
American Academy of Periodontology,AAP Foundation Fellowships to the Institute for Teaching and Learning in the Health Professions,Neal Fleisher,2011,"FLEISHER, NEAL",Boston University,Not Designated,2024-12-06
Brain and Behavior Research Foundation,BBRF Young Investigator Grant,Ovsanna Leyfer,2012,"LEYFER, OVSANNA",Boston University,Not Designated,2024-12-06
Health Resources in Action,Deborah Munroe Noonan Memorial Research Fund,Ovsanna Leyfer,2018,"LEYFER, OVSANNA",Boston University,Not Designated,2024-12-06
Health Resources in Action,Deborah Munroe Noonan Memorial Research Fund,Ovsanna Leyfer,2023,"LEYFER, OVSANNA",Boston University,Not Designated,2024-12-06
American Psychological Association,Committee on Early Career Psychologists/APA Achievement Award for Early Career Psychologists,Anthony Rosellini,2016,"ROSELLINI, ANTHONY J",Boston University,Not Designated,2024-12-06
American Association of Immunologists,Careers in Immunology Fellowship,Jeffrey L. Browning,2018,"BROWNING, JEFFREY",Boston University,Not Designated,2024-12-06
